#Q2	Xb	Zh	Pt	Phi	SigmaB	SigmaOb	Tail1	Taile2	Fact_noex	Fact_ex
1.24696	0.20811	0.766021	0.529812	-97.5	0	0	0	0	0.879489	0.879489
1.24696	0.20811	0.766021	0.529812	-82.5	0	0	0	0	0.879714	0.879714
1.24696	0.20811	0.766021	0.529812	-67.5	0	0	0	0	0.87922	0.87922
1.24696	0.20811	0.766021	0.529812	-52.5	0	0	0	0	0.879038	0.879038
1.24696	0.20811	0.766021	0.529812	-37.5	0	0	0	0	0.878104	0.878104
1.24696	0.20811	0.766021	0.529812	-22.5	0	0	0	0	0.878074	0.878074
1.24696	0.20811	0.766021	0.529812	-7.5	0	0	0	0	0.877547	0.877547
1.24696	0.20811	0.766021	0.529812	7.5	0	0	0	0	0.877547	0.877547
1.24696	0.20811	0.766021	0.529812	22.5	0	0	0	0	0.878074	0.878074
1.24696	0.20811	0.766021	0.529812	37.5	0	0	0	0	0.878104	0.878104
1.24696	0.20811	0.766021	0.529812	52.5	0	0	0	0	0.879038	0.879038
1.24696	0.20811	0.766021	0.529812	67.5	0	0	0	0	0.87922	0.87922
1.24696	0.20811	0.766021	0.529812	82.5	0	0	0	0	0.879714	0.879714
1.24696	0.20811	0.766021	0.529812	97.5	0	0	0	0	0.879489	0.879489
1.24696	0.20811	0.766021	0.529812	112.5	0	0	0	0	0.878619	0.878619
1.24696	0.20811	0.766021	0.529812	127.5	0	0	0	0	0.877773	0.877773
1.24696	0.20811	0.766021	0.529812	142.5	0	0	0	0	0.87635	0.87635
1.24696	0.20811	0.766021	0.529812	157.5	0	0	0	0	0.876175	0.876175
1.24696	0.20811	0.766021	0.529812	172.5	0	0	0	0	0.875394	0.875394
1.72947	0.258314	0.765348	0.543691	-172.5	0	0	0	0	0.875604	0.875604
1.72947	0.258314	0.765348	0.543691	-157.5	0	0	0	0	0.87499	0.87499
1.72947	0.258314	0.765348	0.543691	-142.5	0	0	0	0	0.87549	0.87549
1.72947	0.258314	0.765348	0.543691	-127.5	0	0	0	0	0.875044	0.875044
1.72947	0.258314	0.765348	0.543691	-112.5	0	0	0	0	0.874947	0.874947
1.72947	0.258314	0.765348	0.543691	-97.5	0	0	0	0	0.874235	0.874235
1.72947	0.258314	0.765348	0.543691	-82.5	0	0	0	0	0.873715	0.873715
1.72947	0.258314	0.765348	0.543691	-67.5	0	0	0	0	0.873192	0.873192
1.72947	0.258314	0.765348	0.543691	-52.5	0	0	0	0	0.872256	0.872256
1.72947	0.258314	0.765348	0.543691	-37.5	0	0	0	0	0.871622	0.871622
1.72947	0.258314	0.765348	0.543691	-22.5	0	0	0	0	0.871447	0.871447
1.72947	0.258314	0.765348	0.543691	-7.5	0	0	0	0	0.870957	0.870957
1.72947	0.258314	0.765348	0.543691	7.5	0	0	0	0	0.870957	0.870957
