#Q2	Xb	Zh	Pt	Phi	SigmaB	SigmaOb	Tail1	Taile2	Fact_noex	Fact_ex
1.24489	0.198196	0.36508	0.352355	-37.5	0	0	0	0	0.932436	0.932436
1.24489	0.198196	0.36508	0.352355	-22.5	0	0	0	0	0.930028	0.930028
1.24489	0.198196	0.36508	0.352355	-7.5	0	0	0	0	0.927335	0.927335
1.24489	0.198196	0.36508	0.352355	7.5	0	0	0	0	0.927335	0.927335
1.24489	0.198196	0.36508	0.352355	22.5	0	0	0	0	0.930028	0.930028
1.24489	0.198196	0.36508	0.352355	37.5	0	0	0	0	0.932436	0.932436
1.24489	0.198196	0.36508	0.352355	52.5	0	0	0	0	0.932546	0.932546
1.24489	0.198196	0.36508	0.352355	67.5	0	0	0	0	0.931858	0.931858
1.24489	0.198196	0.36508	0.352355	82.5	0	0	0	0	0.929954	0.929954
1.24489	0.198196	0.36508	0.352355	97.5	0	0	0	0	0.930495	0.930495
1.24489	0.198196	0.36508	0.352355	112.5	0	0	0	0	0.93152	0.93152
1.24489	0.198196	0.36508	0.352355	127.5	0	0	0	0	0.933184	0.933184
1.24489	0.198196	0.36508	0.352355	142.5	0	0	0	0	0.930912	0.930912
1.24489	0.198196	0.36508	0.352355	157.5	0	0	0	0	0.930113	0.930113
1.24489	0.198196	0.36508	0.352355	172.5	0	0	0	0	0.929523	0.929523
1.7471	0.254692	0.3642	0.363195	-172.5	0	0	0	0	0.919962	0.919962
1.7471	0.254692	0.3642	0.363195	-157.5	0	0	0	0	0.923274	0.923274
1.7471	0.254692	0.3642	0.363195	-142.5	0	0	0	0	0.925252	0.925252
1.7471	0.254692	0.3642	0.363195	-127.5	0	0	0	0	0.927058	0.927058
1.7471	0.254692	0.3642	0.363195	-112.5	0	0	0	0	0.926127	0.926127
1.7471	0.254692	0.3642	0.363195	-97.5	0	0	0	0	0.927044	0.927044
1.7471	0.254692	0.3642	0.363195	-82.5	0	0	0	0	0.924918	0.924918
1.7471	0.254692	0.3642	0.363195	-67.5	0	0	0	0	0.923766	0.923766
1.7471	0.254692	0.3642	0.363195	-52.5	0	0	0	0	0.912596	0.912596
1.7471	0.254692	0.3642	0.363195	-37.5	0	0	0	0	0.902938	0.902938
1.7471	0.254692	0.3642	0.363195	-22.5	0	0	0	0	0.900302	0.900302
1.7471	0.254692	0.3642	0.363195	-7.5	0	0	0	0	0.899832	0.899832
1.7471	0.254692	0.3642	0.363195	7.5	0	0	0	0	0.899832	0.899832
1.7471	0.254692	0.3642	0.363195	22.5	0	0	0	0	0.900302	0.900302
1.7471	0.254692	0.3642	0.363195	37.5	0	0	0	0	0.902938	0.902938
1.7471	0.254692	0.3642	0.363195	52.5	0	0	0	0	0.912596	0.912596
1.7471	0.254692	0.3642	0.363195	67.5	0	0	0	0	0.923766	0.923766
1.7471	0.254692	0.3642	0.363195	82.5	0	0	0	0	0.924918	0.924918
1.7471	0.254692	0.3642	0.363195	97.5	0	0	0	0	0.927044	0.927044
1.7471	0.254692	0.3642	0.363195	112.5	0	0	0	0	0.926127	0.926127
1.7471	0.254692	0.3642	0.363195	127.5	0	0	0	0	0.927058	0.927058
1.7471	0.254692	0.3642	0.363195	142.5	0	0	0	0	0.925252	0.925252
1.7471	0.254692	0.3642	0.363195	157.5	0	0	0	0	0.923274	0.923274
1.7471	0.254692	0.3642	0.363195	172.5	0	0	0	0	0.919962	0.919962
1.44809	0.308099	0.367553	0.273109	-172.5	0	0	0	0	0.8636	0.8636
1.44809	0.308099	0.367553	0.273109	-157.5	0	0	0	0	0.86395	0.86395
1.44809	0.308099	0.367553	0.273109	-142.5	0	0	0	0	0.86727	0.86727
1.44809	0.308099	0.367553	0.273109	-127.5	0	0	0	0	0.867588	0.867588
1.44809	0.308099	0.367553	0.273109	-112.5	0	0	0	0	0.867245	0.867245
1.44809	0.308099	0.367553	0.273109	-97.5	0	0	0	0	0.867437	0.867437
1.44809	0.308099	0.367553	0.273109	-82.5	0	0	0	0	0.867172	0.867172
1.44809	0.308099	0.367553	0.273109	-67.5	0	0	0	0	0.865724	0.865724
1.44809	0.308099	0.367553	0.273109	-52.5	0	0	0	0	0.866667	0.866667
1.44809	0.308099	0.367553	0.273109	-37.5	0	0	0	0	0.86625	0.86625
1.44809	0.308099	0.367553	0.273109	-22.5	0	0	0	0	0.865867	0.865867
1.44809	0.308099	0.367553	0.273109	-7.5	0	0	0	0	0.865382	0.865382
1.44809	0.308099	0.367553	0.273109	7.5	0	0	0	0	0.865382	0.865382
1.44809	0.308099	0.367553	0.273109	22.5	0	0	0	0	0.865867	0.865867
1.44809	0.308099	0.367553	0.273109	37.5	0	0	0	0	0.86625	0.86625
1.44809	0.308099	0.367553	0.273109	52.5	0	0	0	0	0.866667	0.866667
1.44809	0.308099	0.367553	0.273109	67.5	0	0	0	0	0.865724	0.865724
1.44809	0.308099	0.367553	0.273109	82.5	0	0	0	0	0.867172	0.867172
1.44809	0.308099	0.367553	0.273109	97.5	0	0	0	0	0.867437	0.867437
1.44809	0.308099	0.367553	0.273109	112.5	0	0	0	0	0.867245	0.867245
1.44809	0.308099	0.367553	0.273109	127.5	0	0	0	0	0.867588	0.867588
1.44809	0.308099	0.367553	0.273109	142.5	0	0	0	0	0.86727	0.86727
1.44809	0.308099	0.367553	0.273109	157.5	0	0	0	0	0.86395	0.86395
1.44809	0.308099	0.367553	0.273109	172.5	0	0	0	0	0.8636	0.8636
