 #***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    5.0140   1.9990  27.8367   0.4100   2.3197  0.65006E+02  0.65011E+02 -0.43730E-02  0.67063E+02  0.22376E-03  0.11331E+01  0.65930E+02  0.10035E+01
    5.0140   1.9990  29.3571   0.4550   2.5743  0.44732E+02  0.44718E+02  0.13766E-01  0.45512E+02  0.11901E-03  0.74868E+00  0.44764E+02  0.10042E+01
    5.0140   1.9990  31.4347   0.5200   2.9420  0.26142E+02  0.26098E+02  0.44615E-01  0.26114E+02  0.34689E-04  0.45024E+00  0.25664E+02  0.10053E+01
    5.0140   1.8940  18.9055   0.1750   1.0246  0.48379E+03  0.48332E+03  0.46311E+00  0.56423E+03  0.55166E+00  0.18798E+02  0.54488E+03  0.10006E+01
    5.0140   1.8940  19.4432   0.1850   1.0831  0.43195E+03  0.43157E+03  0.38383E+00  0.49994E+03  0.36883E+00  0.15971E+02  0.48360E+03  0.10007E+01
    5.0140   1.8940  19.9670   0.1950   1.1417  0.38702E+03  0.38671E+03  0.31525E+00  0.44470E+03  0.24644E+00  0.13643E+02  0.43082E+03  0.10009E+01
    5.0140   1.8940  20.4780   0.2050   1.2002  0.34785E+03  0.34760E+03  0.25624E+00  0.39694E+03  0.16435E+00  0.11711E+02  0.38507E+03  0.10009E+01
    5.0140   1.8940  20.9770   0.2150   1.2588  0.31353E+03  0.31332E+03  0.20576E+00  0.35543E+03  0.10930E+00  0.10099E+02  0.34522E+03  0.10010E+01
    5.0140   1.8940  21.4650   0.2250   1.3173  0.28330E+03  0.28314E+03  0.16281E+00  0.31914E+03  0.72408E-01  0.87435E+01  0.31032E+03  0.10012E+01
    5.0140   1.8940  21.9426   0.2350   1.3759  0.25656E+03  0.25644E+03  0.12651E+00  0.28728E+03  0.47748E-01  0.75986E+01  0.27964E+03  0.10013E+01
    5.0140   1.8940  22.4105   0.2450   1.4344  0.23282E+03  0.23272E+03  0.96050E-01  0.25918E+03  0.31323E-01  0.66266E+01  0.25253E+03  0.10014E+01
    5.0140   1.8940  22.8693   0.2550   1.4930  0.21164E+03  0.21157E+03  0.70688E-01  0.23429E+03  0.20435E-01  0.57976E+01  0.22848E+03  0.10015E+01
    5.0140   1.8940  23.3196   0.2650   1.5515  0.19268E+03  0.19263E+03  0.49771E-01  0.21217E+03  0.13262E-01  0.50876E+01  0.20706E+03  0.10016E+01
    5.0140   1.8940  23.7618   0.2750   1.6101  0.17567E+03  0.17564E+03  0.32718E-01  0.19243E+03  0.85713E-02  0.44772E+01  0.18794E+03  0.10018E+01
    5.0140   1.8940  24.4110   0.2900   1.6979  0.15326E+03  0.15324E+03  0.13263E-01  0.16664E+03  0.44427E-02  0.37147E+01  0.16292E+03  0.10019E+01
    5.0140   1.8940  25.4584   0.3150   1.8443  0.12267E+03  0.12267E+03 -0.39081E-02  0.13187E+03  0.15503E-02  0.27609E+01  0.12911E+03  0.10023E+01
    5.0140   1.8940  26.6644   0.3450   2.0199  0.94485E+02  0.94494E+02 -0.92710E-02  0.10032E+03  0.57305E-03  0.19733E+01  0.98344E+02  0.10027E+01
    5.0140   1.8940  27.8219   0.3750   2.1955  0.73110E+02  0.73118E+02 -0.85138E-02  0.76752E+02  0.32366E-03  0.14326E+01  0.75319E+02  0.10032E+01
    5.0140   1.8940  29.1187   0.4100   2.4005  0.54408E+02  0.54411E+02 -0.34544E-02  0.56441E+02  0.20808E-03  0.10035E+01  0.55438E+02  0.10038E+01
    5.0140   1.8940  30.7124   0.4550   2.6639  0.37366E+02  0.37357E+02  0.96590E-02  0.38225E+02  0.10925E-03  0.65708E+00  0.37568E+02  0.10044E+01
    5.0140   1.8940  32.8911   0.5200   3.0445  0.21765E+02  0.21733E+02  0.32794E-01  0.21858E+02  0.31199E-04  0.38653E+00  0.21471E+02  0.10057E+01
    5.0140   1.7940  19.7422   0.1750   1.0574  0.41040E+03  0.41004E+03  0.36787E+00  0.48286E+03  0.52025E+00  0.17128E+02  0.46521E+03  0.10007E+01
    5.0140   1.7940  20.3042   0.1850   1.1179  0.36642E+03  0.36612E+03  0.30491E+00  0.42767E+03  0.34720E+00  0.14485E+02  0.41284E+03  0.10008E+01
    5.0140   1.7940  20.8518   0.1950   1.1783  0.32829E+03  0.32804E+03  0.25049E+00  0.38033E+03  0.23152E+00  0.12377E+02  0.36772E+03  0.10009E+01
    5.0140   1.7940  21.3859   0.2050   1.2387  0.29506E+03  0.29486E+03  0.20372E+00  0.33941E+03  0.15411E+00  0.10628E+02  0.32863E+03  0.10010E+01
    5.0140   1.7940  21.9076   0.2150   1.2991  0.26593E+03  0.26577E+03  0.16374E+00  0.30377E+03  0.10227E+00  0.91666E+01  0.29450E+03  0.10012E+01
    5.0140   1.7940  22.4177   0.2250   1.3596  0.24028E+03  0.24015E+03  0.12975E+00  0.27277E+03  0.67606E-01  0.79385E+01  0.26476E+03  0.10013E+01
    5.0140   1.7940  22.9171   0.2350   1.4200  0.21758E+03  0.21748E+03  0.10103E+00  0.24547E+03  0.44480E-01  0.69004E+01  0.23853E+03  0.10014E+01
    5.0140   1.7940  23.4063   0.2450   1.4804  0.19742E+03  0.19735E+03  0.76931E-01  0.22141E+03  0.29114E-01  0.60189E+01  0.21536E+03  0.10015E+01
    5.0140   1.7940  23.8861   0.2550   1.5408  0.17945E+03  0.17939E+03  0.56866E-01  0.20010E+03  0.18950E-01  0.52667E+01  0.19481E+03  0.10016E+01
    5.0140   1.7940  24.3570   0.2650   1.6012  0.16336E+03  0.16332E+03  0.40313E-01  0.18116E+03  0.12271E-01  0.46222E+01  0.17653E+03  0.10018E+01
    5.0140   1.7940  24.8195   0.2750   1.6617  0.14892E+03  0.14889E+03  0.26807E-01  0.16427E+03  0.79147E-02  0.40679E+01  0.16019E+03  0.10019E+01
    5.0140   1.7940  25.4985   0.2900   1.7523  0.12989E+03  0.12988E+03  0.11374E-01  0.14220E+03  0.40934E-02  0.33750E+01  0.13882E+03  0.10021E+01
    5.0140   1.7940  26.5942   0.3150   1.9034  0.10392E+03  0.10393E+03 -0.25082E-02  0.11245E+03  0.14295E-02  0.25063E+01  0.10994E+03  0.10025E+01
    5.0140   1.7940  27.8562   0.3450   2.0847  0.79993E+02  0.80000E+02 -0.66946E-02  0.85460E+02  0.53440E-03  0.17881E+01  0.83671E+02  0.10029E+01
    5.0140   1.7940  29.0676   0.3750   2.2659  0.61852E+02  0.61859E+02 -0.63018E-02  0.65324E+02  0.30441E-03  0.12953E+01  0.64028E+02  0.10034E+01
    5.0140   1.7940  30.4251   0.4100   2.4774  0.45985E+02  0.45987E+02 -0.27201E-02  0.47978E+02  0.19491E-03  0.90443E+00  0.47073E+02  0.10040E+01
    5.0140   1.7940  32.0940   0.4550   2.7493  0.31529E+02  0.31522E+02  0.69146E-02  0.32433E+02  0.10107E-03  0.58812E+00  0.31844E+02  0.10047E+01
    5.0140   1.7940  34.3765   0.5200   3.1421  0.18310E+02  0.18285E+02  0.24564E-01  0.18487E+02  0.28312E-04  0.33929E+00  0.18147E+02  0.10060E+01
    5.0140   1.6940  20.6391   0.1750   1.0903  0.34801E+03  0.34772E+03  0.29264E+00  0.41331E+03  0.49217E+00  0.15573E+02  0.39724E+03  0.10008E+01
    5.0140   1.6940  21.2273   0.1850   1.1526  0.31072E+03  0.31048E+03  0.24253E+00  0.36612E+03  0.32785E+00  0.13305E+02  0.35248E+03  0.10009E+01
    5.0140   1.6940  21.8003   0.1950   1.2149  0.27840E+03  0.27820E+03  0.19928E+00  0.32548E+03  0.21821E+00  0.11319E+02  0.31394E+03  0.10010E+01
    5.0140   1.6940  22.3593   0.2050   1.2772  0.25023E+03  0.25006E+03  0.16215E+00  0.29041E+03  0.14496E+00  0.97244E+01  0.28054E+03  0.10012E+01
