                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.1940  22.0463  0.42430E+04  0.44706E+04  0.63175E-02  0.44004E+04  0.44706E+04  0.63175E-02  0.44004E+04
    5.0140   2.1940  22.7871  0.35153E+04  0.36740E+04  0.25003E-02  0.36182E+04  0.36740E+04  0.25003E-02  0.36182E+04
    5.0140   2.1940  23.5058  0.29184E+04  0.30273E+04  0.98849E-03  0.29825E+04  0.30273E+04  0.98849E-03  0.29825E+04
    5.0140   2.1940  24.2044  0.24268E+04  0.24997E+04  0.38950E-03  0.24635E+04  0.24997E+04  0.38950E-03  0.24635E+04
    5.0140   2.1940  24.8844  0.20204E+04  0.20675E+04  0.15272E-03  0.20379E+04  0.20675E+04  0.15272E-03  0.20379E+04
    5.0140   2.1940  25.5476  0.16839E+04  0.17124E+04  0.59473E-04  0.16882E+04  0.17124E+04  0.59473E-04  0.16882E+04
    5.0140   2.1940  26.1950  0.14048E+04  0.14201E+04  0.22979E-04  0.14001E+04  0.14201E+04  0.22979E-04  0.14001E+04
    5.0140   2.1940  26.8279  0.11728E+04  0.11790E+04  0.87977E-05  0.11622E+04  0.11790E+04  0.87977E-05  0.11622E+04
    5.0140   2.1940  27.4473  0.97994E+03  0.97975E+03  0.33344E-05  0.96548E+03  0.97975E+03  0.33344E-05  0.96548E+03
    5.0140   2.1940  28.0540  0.81906E+03  0.81462E+03  0.12502E-05  0.80234E+03  0.81462E+03  0.12502E-05  0.80234E+03
    5.0140   2.1940  28.6489  0.68439E+03  0.67728E+03  0.46334E-06  0.66660E+03  0.67728E+03  0.46334E-06  0.66660E+03
    5.0140   2.1940  29.2327  0.57192E+03  0.56316E+03  0.16964E-06  0.55376E+03  0.56316E+03  0.16964E-06  0.55376E+03
    5.0140   2.1940  29.8061  0.47729E+03  0.46778E+03  0.61322E-07  0.45942E+03  0.46778E+03  0.61322E-07  0.45942E+03
    5.0140   2.0540  17.9753  0.11600E+05  0.13135E+05  0.17635E+01  0.12820E+05  0.13135E+05  0.17635E+01  0.12820E+05
    5.0140   2.0540  18.9749  0.91917E+04  0.10277E+05  0.64483E+00  0.10049E+05  0.10277E+05  0.64483E+00  0.10049E+05
    5.0140   2.0540  19.9261  0.73774E+04  0.81531E+04  0.24211E+00  0.79836E+04  0.81531E+04  0.24211E+00  0.79836E+04
