# ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    5.0140   2.0540  19.9261   0.2220   1.2331  0.61233E+02  0.61230E+02  0.27721E-02  0.68404E+02  0.30405E-01  0.22824E+01  0.66091E+02  0.10000E+01
    5.0140   2.0540  20.8356   0.2425   1.3470  0.50024E+02  0.50022E+02  0.26445E-02  0.55262E+02  0.18529E-01  0.17026E+01  0.53541E+02  0.10000E+01
    5.0140   2.0540  21.7087   0.2630   1.4608  0.41196E+02  0.41194E+02  0.25194E-02  0.45055E+02  0.11578E-01  0.12914E+01  0.43752E+02  0.10000E+01
    5.0140   2.0540  22.5496   0.2835   1.5747  0.34166E+02  0.34164E+02  0.23947E-02  0.37019E+02  0.73813E-02  0.99162E+00  0.36020E+02  0.10000E+01
    5.0140   2.0540  23.3617   0.3040   1.6886  0.28524E+02  0.28522E+02  0.22735E-02  0.30635E+02  0.47895E-02  0.77234E+00  0.29858E+02  0.10000E+01
    5.0140   2.0540  24.1480   0.3245   1.8025  0.23990E+02  0.23988E+02  0.21944E-02  0.25530E+02  0.31460E-02  0.60614E+00  0.24921E+02  0.10000E+01
    5.0140   2.0540  24.9110   0.3450   1.9163  0.20220E+02  0.20218E+02  0.20924E-02  0.21328E+02  0.20884E-02  0.47854E+00  0.20847E+02  0.10000E+01
    5.0140   2.0540  25.6526   0.3655   2.0302  0.16944E+02  0.16942E+02  0.20018E-02  0.17766E+02  0.14007E-02  0.38288E+00  0.17382E+02  0.10000E+01
    5.0140   2.0540  26.3748   0.3860   2.1441  0.14264E+02  0.14262E+02  0.19312E-02  0.14867E+02  0.94884E-03  0.30744E+00  0.14559E+02  0.10000E+01
    5.0140   2.0540  27.0791   0.4065   2.2579  0.12067E+02  0.12065E+02  0.18568E-02  0.12500E+02  0.65066E-03  0.24922E+00  0.12250E+02  0.10000E+01
    5.0140   2.0540  27.7669   0.4270   2.3718  0.10253E+02  0.10252E+02  0.17774E-02  0.10551E+02  0.45138E-03  0.20317E+00  0.10347E+02  0.10000E+01
    5.0140   2.0540  28.4393   0.4475   2.4857  0.87364E+01  0.87347E+01  0.17067E-02  0.89230E+01  0.31669E-03  0.16602E+00  0.87566E+01  0.10000E+01
    5.0140   2.0540  29.0975   0.4680   2.5995  0.73523E+01  0.73506E+01  0.16692E-02  0.74803E+01  0.22381E-03  0.13667E+00  0.73434E+01  0.10000E+01
    5.0140   2.0540  29.7423   0.4885   2.7134  0.62185E+01  0.62169E+01  0.16222E-02  0.63008E+01  0.15792E-03  0.11332E+00  0.61873E+01  0.10000E+01
    5.0140   2.0540  30.3747   0.5090   2.8273  0.52986E+01  0.52970E+01  0.15941E-02  0.53389E+01  0.11176E-03  0.94320E-01  0.52444E+01  0.10000E+01
    5.0140   2.0540  30.9954   0.5295   2.9411  0.45034E+01  0.45018E+01  0.15683E-02  0.45164E+01  0.79775E-04  0.78805E-01  0.44375E+01  0.10000E+01
    5.0140   2.0540  31.6050   0.5500   3.0550  0.38454E+01  0.38438E+01  0.15454E-02  0.38371E+01  0.57540E-04  0.66199E-01  0.37708E+01  0.10000E+01
    5.0140   2.0140  18.2777   0.1810   1.0190  0.88736E+02  0.88733E+02  0.27165E-02  0.10207E+03  0.86768E-01  0.41706E+01  0.97809E+02  0.10000E+01
    5.0140   2.0140  19.2944   0.2015   1.1344  0.70925E+02  0.70922E+02  0.26208E-02  0.80412E+02  0.49815E-01  0.29855E+01  0.77377E+02  0.10000E+01
    5.0140   2.0140  20.2620   0.2220   1.2498  0.57381E+02  0.57379E+02  0.24942E-02  0.64260E+02  0.29596E-01  0.21890E+01  0.62042E+02  0.10000E+01
    5.0140   2.0140  21.1872   0.2425   1.3652  0.46874E+02  0.46872E+02  0.23599E-02  0.51903E+02  0.18020E-01  0.16317E+01  0.50253E+02  0.10000E+01
    5.0140   2.0140  22.0754   0.2630   1.4806  0.38596E+02  0.38594E+02  0.22474E-02  0.42304E+02  0.11251E-01  0.12366E+01  0.41056E+02  0.10000E+01
    5.0140   2.0140  22.9308   0.2835   1.5960  0.31999E+02  0.31997E+02  0.21336E-02  0.34744E+02  0.71659E-02  0.94846E+00  0.33789E+02  0.10000E+01
    5.0140   2.0140  23.7571   0.3040   1.7114  0.26697E+02  0.26695E+02  0.20541E-02  0.28734E+02  0.46460E-02  0.73824E+00  0.27992E+02  0.10000E+01
    5.0140   2.0140  24.5571   0.3245   1.8268  0.22428E+02  0.22426E+02  0.19533E-02  0.23924E+02  0.30497E-02  0.57891E+00  0.23342E+02  0.10000E+01
    5.0140   2.0140  25.3334   0.3450   1.9422  0.18929E+02  0.18927E+02  0.18635E-02  0.20007E+02  0.20233E-02  0.45730E+00  0.19547E+02  0.10000E+01
    5.0140   2.0140  26.0881   0.3655   2.0576  0.15878E+02  0.15876E+02  0.17823E-02  0.16673E+02  0.13561E-02  0.36419E+00  0.16308E+02  0.10000E+01
    5.0140   2.0140  26.8230   0.3860   2.1730  0.13348E+02  0.13347E+02  0.17293E-02  0.13938E+02  0.91778E-03  0.29347E+00  0.13643E+02  0.10000E+01
    5.0140   2.0140  27.5397   0.4065   2.2884  0.11282E+02  0.11280E+02  0.16509E-02  0.11708E+02  0.62888E-03  0.23736E+00  0.11470E+02  0.10000E+01
    5.0140   2.0140  28.2396   0.4270   2.4038  0.95756E+01  0.95740E+01  0.15900E-02  0.98731E+01  0.43583E-03  0.19322E+00  0.96795E+01  0.10000E+01
    5.0140   2.0140  28.9240   0.4475   2.5193  0.81623E+01  0.81608E+01  0.15471E-02  0.83528E+01  0.30552E-03  0.15791E+00  0.81946E+01  0.10000E+01
    5.0140   2.0140  29.5939   0.4680   2.6347  0.68771E+01  0.68756E+01  0.14913E-02  0.70063E+01  0.21577E-03  0.12973E+00  0.68763E+01  0.10000E+01
    5.0140   2.0140  30.2502   0.4885   2.7501  0.58047E+01  0.58032E+01  0.14491E-02  0.58909E+01  0.15228E-03  0.10723E+00  0.57836E+01  0.10000E+01
    5.0140   2.0140  30.8939   0.5090   2.8655  0.49369E+01  0.49355E+01  0.14234E-02  0.49840E+01  0.10770E-03  0.89217E-01  0.48947E+01  0.10000E+01
    5.0140   2.0140  31.5258   0.5295   2.9809  0.42005E+01  0.41991E+01  0.13987E-02  0.42185E+01  0.76834E-04  0.74415E-01  0.41440E+01  0.10000E+01
    5.0140   2.0140  32.1464   0.5500   3.0963  0.35737E+01  0.35723E+01  0.13779E-02  0.35730E+01  0.55374E-04  0.62366E-01  0.35106E+01  0.10000E+01
    5.0140   1.8440  19.6484   0.1810   1.0767  0.67359E+02  0.67357E+02  0.17476E-02  0.78501E+02  0.78540E-01  0.35314E+01  0.74891E+02  0.10000E+01
    5.0140   1.8440  20.7429   0.2015   1.1986  0.53844E+02  0.53842E+02  0.16541E-02  0.61816E+02  0.45035E-01  0.25271E+01  0.59244E+02  0.10000E+01
    5.0140   1.8440  21.7848   0.2220   1.3206  0.43569E+02  0.43567E+02  0.15647E-02  0.49347E+02  0.26661E-01  0.18521E+01  0.47468E+02  0.10000E+01
    5.0140   1.8440  22.7813   0.2425   1.4425  0.35595E+02  0.35594E+02  0.15113E-02  0.39849E+02  0.16180E-01  0.13819E+01  0.38451E+02  0.10000E+01
    5.0140   1.8440  23.7382   0.2630   1.5645  0.29305E+02  0.29304E+02  0.14246E-02  0.32454E+02  0.10065E-01  0.10447E+01  0.31399E+02  0.10000E+01
    5.0140   1.8440  24.6600   0.2835   1.6864  0.24279E+02  0.24278E+02  0.13568E-02  0.26625E+02  0.63803E-02  0.80084E+00  0.25818E+02  0.10000E+01
    5.0140   1.8440  25.5505   0.3040   1.8084  0.20223E+02  0.20222E+02  0.12859E-02  0.21979E+02  0.41251E-02  0.62170E+00  0.21353E+02  0.10000E+01
    5.0140   1.8440  26.4130   0.3245   1.9303  0.16932E+02  0.16930E+02  0.12304E-02  0.18245E+02  0.27017E-02  0.48580E+00  0.17756E+02  0.10000E+01
    5.0140   1.8440  27.2502   0.3450   2.0523  0.14255E+02  0.14254E+02  0.11869E-02  0.15229E+02  0.17880E-02  0.38343E+00  0.14844E+02  0.10000E+01
    5.0140   1.8440  28.0642   0.3655   2.1742  0.12055E+02  0.12054E+02  0.11330E-02  0.12763E+02  0.11955E-02  0.30477E+00  0.12457E+02  0.10000E+01
    5.0140   1.8440  28.8571   0.3860   2.2962  0.10122E+02  0.10121E+02  0.10748E-02  0.10649E+02  0.80659E-03  0.24377E+00  0.10404E+02  0.10000E+01
    5.0140   1.8440  29.6305   0.4065   2.4181  0.85157E+01  0.85147E+01  0.10306E-02  0.89090E+01  0.55071E-03  0.19650E+00  0.87119E+01  0.10000E+01
    5.0140   1.8440  30.3860   0.4270   2.5401  0.71978E+01  0.71968E+01  0.99709E-03  0.74848E+01  0.38003E-03  0.15911E+00  0.73253E+01  0.10000E+01
    5.0140   1.8440  31.1249   0.4475   2.6620  0.61093E+01  0.61083E+01  0.95989E-03  0.63114E+01  0.26549E-03  0.12962E+00  0.61815E+01  0.10000E+01
    5.0140   1.8440  31.8484   0.4680   2.7840  0.51949E+01  0.51940E+01  0.92707E-03  0.53275E+01  0.18703E-03  0.10592E+00  0.52214E+01  0.10000E+01
    5.0140   1.8440  32.5574   0.4885   2.9059  0.43614E+01  0.43605E+01  0.91015E-03  0.44563E+01  0.13241E-03  0.87103E-01  0.43691E+01  0.10000E+01
    5.0140   1.8440  33.2529   0.5090   3.0278  0.36812E+01  0.36803E+01  0.88009E-03  0.37458E+01  0.93490E-04  0.72022E-01  0.36737E+01  0.10000E+01
    5.0140   1.8440  33.9358   0.5295   3.1498  0.31252E+01  0.31243E+01  0.86211E-03  0.31632E+01  0.66555E-04  0.59799E-01  0.31034E+01  0.10000E+01
