                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.0540  31.6050  0.38454E+01  0.38371E+01  0.57540E-04  0.37708E+01  0.38371E+01  0.57540E-04  0.37708E+01
    5.0140   2.0140  18.2777  0.88736E+02  0.10207E+03  0.86768E-01  0.97809E+02  0.10207E+03  0.86768E-01  0.97809E+02
    5.0140   2.0140  19.2944  0.70925E+02  0.80412E+02  0.49815E-01  0.77377E+02  0.80412E+02  0.49815E-01  0.77377E+02
    5.0140   2.0140  20.2620  0.57381E+02  0.64260E+02  0.29596E-01  0.62042E+02  0.64260E+02  0.29596E-01  0.62042E+02
    5.0140   2.0140  21.1872  0.46874E+02  0.51903E+02  0.18020E-01  0.50253E+02  0.51903E+02  0.18020E-01  0.50253E+02
    5.0140   2.0140  22.0754  0.38596E+02  0.42304E+02  0.11251E-01  0.41056E+02  0.42304E+02  0.11251E-01  0.41056E+02
    5.0140   2.0140  22.9308  0.31999E+02  0.34744E+02  0.71659E-02  0.33789E+02  0.34744E+02  0.71659E-02  0.33789E+02
    5.0140   2.0140  23.7571  0.26697E+02  0.28734E+02  0.46460E-02  0.27992E+02  0.28734E+02  0.46460E-02  0.27992E+02
    5.0140   2.0140  24.5571  0.22428E+02  0.23924E+02  0.30497E-02  0.23342E+02  0.23924E+02  0.30497E-02  0.23342E+02
    5.0140   2.0140  25.3334  0.18929E+02  0.20007E+02  0.20233E-02  0.19547E+02  0.20007E+02  0.20233E-02  0.19547E+02
    5.0140   2.0140  26.0881  0.15878E+02  0.16673E+02  0.13561E-02  0.16308E+02  0.16673E+02  0.13561E-02  0.16308E+02
    5.0140   2.0140  26.8230  0.13348E+02  0.13938E+02  0.91778E-03  0.13643E+02  0.13938E+02  0.91778E-03  0.13643E+02
    5.0140   2.0140  27.5397  0.11282E+02  0.11708E+02  0.62888E-03  0.11470E+02  0.11708E+02  0.62888E-03  0.11470E+02
